time,close,RSI,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
1313366400,10,,,,,
1314576000,7.4,,,,,
1315785600,6.05,,,,,
1316995200,3.89,,,,,
1318204800,2.27,,,,,
1319414400,2.95,,,,,
1320624000,2.37,,,,,
1321833600,2.93,,,,,
1323043200,3.5,,,,,
1324252800,5,,,,,
1325462400,7.15,,,,,
1326672000,5.5,,,,,
1327881600,5.67,,,,,
1329091200,4.98,,,,,
1330300800,5,34.662576687116555,,,,
1331510400,4.54,33.64019419254373,,,,
1332720000,4.76,34.63321696037535,,,,
1333929600,5.17,36.53914235198804,,,,
1335139200,5.08,36.28901150236201,,,,
1336348800,5.03,36.14099124769127,,,,
1337558400,5.19,37.026189692058516,,,,
1338768000,6.19,42.4002639493883,,,,
1339977600,6.52,44.09572317020305,,,,
1341187200,7.57,49.217717731697334,,,,
1342396800,8.71,54.13142789046894,,,,
1343606400,11.49,63.425402877063384,,,,
1344816000,10.31,58.048874106995406,,,,
1346025600,10.98,60.11621721525904,,,,
1347235200,11.99,63.070635788229175,,,,
1348444800,11.71,61.705976446482936,,,,
1349654400,11.32,59.76623346314774,,,,
1350864000,10.64,56.43507671267007,,,,
1352073600,11.51,59.54205371777671,,,,
1353283200,12.42,62.550574835575105,,,,
1354492800,13.27,65.15689797740218,,,,
1355702400,13.2,64.7571972433627,,,,
1356912000,13.15,64.45305642488846,,,,
1357516800,15.5,71.2803471143413,,,,
1358726400,20.29,79.79762604318171,,,,
1359936000,26.98,86.02940334924864,,,,
1361145600,34.33,89.7648947256805,,,,
1362355200,47.24,93.20276064008523,,,,
1363564800,96.15,97.13247100353821,,,,
1364774400,91.11,91.27642908391459,,,,
1365984000,135.28,94.4400859063438,,,,
1367193600,114.5,79.78127133098079,,,,
1368403200,129.5,81.95823820947864,,,,
1369612800,100.17,66.81048874702213,,,,
1370822400,100.41,66.86445639130147,,,,
1372032000,73.96,56.047857232083906,,,,
1373241600,85.93,59.25982696694114,,,,
1374451200,96.38,61.87899045805687,,,,
1375660800,99.3,62.60248249868311,,,,
1376870400,130.66,69.33389072501686,,,,
1378080000,125.36,67.13454401706721,,,,
1379289600,127.01,67.48039273957482,,,,
1380499200,132.82,68.7282794557141,,,,
1381708800,194,78.21027341178275,,,,
1382918400,323,87.09532423023609,,,,
1384128000,800.05,95.0819262630372,,,,
1385337600,784.9,93.11109342570832,,,,
1386547200,614.11,74.39104503844108,,,,
1387756800,903.43,81.263300940341,,,,
1388966400,841.13,76.50252740235695,,,,
1390176000,815,74.5303221607301,,,,
1391385600,619.01,61.6852428281898,,,,
1392595200,561.36,58.49187170886013,,,,
1393804800,633.04,61.18264682016117,,,,
